"","clo","tOut","tInOp","sex","subjId","time","day"
"212",0.6,28.28705,27.37435337,"male",59,1.28333333333333,3
"213",0.56,28.12966667,26.86455018,"male",59,1.18333333333333,3
"214",0.56,28.9,25.98028663,"male",59,1.56666666666667,3
"215",0.59,20.59388333,24.84718112,"male",61,0,1
"216",0.59,24.0072,25.33250742,"male",61,1.23333333333333,1
"217",0.59,22.49001667,25.25448581,"male",61,1.5,1
"218",0.59,24.77965,24.79685799,"male",61,1.51666666666667,1
"219",0.59,23.5125,25.08093111,"male",61,0.85,1
"220",0.59,23.4436,25.77849277,"male",61,1.51666666666667,1
"221",0.54,20.51408333,24.57559694,"male",61,0,2
"222",0.54,19.35913333,26.33791929,"male",61,0.75,2
"223",0.54,21.01791667,28.74973639,"male",61,1.41666666666667,2
"224",0.54,21.5625,27.13921754,"male",61,1.23333333333333,2
"225",0.54,23.2043,26.57415563,"male",61,1.33333333333333,2
"226",0.54,23.89933333,27.34302145,"male",61,1.5,2
"227",0.34,25.10866667,24.96546614,"male",61,0,3
"228",0.34,28.64683333,22.35145303,"male",61,1.26666666666667,3
"229",0.34,30.38113333,23.36451552,"male",61,1.55,3
"230",0.34,31.29916667,26.96024572,"male",61,1.21666666666667,3
"231",0.34,30.6951,26.31936446,"male",61,1.21666666666667,3
"232",0.34,32.1,26.26982713,"male",61,1.53333333333333,3
"233",0.5,16.48453333,22.36727873,"female",63,0,1
"234",0.5,18.5808,25.66448553,"female",63,1.26666666666667,1
"235",0.5,20,27.1542151,"female",63,1.5,1
"236",0.5,21.4,27.89632076,"female",63,1.18333333333333,1
"237",0.5,21.5924,28.56783512,"female",63,1.26666666666667,1
"238",0.5,23.24733333,30.53317753,"female",63,1.48333333333333,1
"239",0.47,18.86975,25.29739306,"female",63,0,2
"240",0.82,21.2262,26.29945039,"female",63,1.16666666666667,2
"241",0.47,24.46706667,27.60024845,"female",63,1.5,2
"242",0.47,26.38608333,27.34015207,"female",63,1.13333333333333,2
"243",0.82,27.18045,27.2350194,"female",63,1.46666666666667,2
"244",0.82,27.41026667,27.57738202,"female",63,1.38333333333333,2
"245",0.5,19.1,25.10131429,"female",63,0,3
"246",0.75,22.3904,26.49771893,"female",63,1.21666666666667,3
"247",0.5,24.5,27.40230826,"female",63,1.55,3
"248",0.5,25.80013333,28.23183546,"female",63,1.21666666666667,3
"249",0.5,26.6923,28.03741229,"female",63,1.28333333333333,3
